score,review
2,"Mohon diperbaiki bug setiap loading, masih sering stuck dan freeze harus reload berkali-kali terutama saat mau event berakhir dan juga saat auto battle terdapat bug yg seolah-olah menekan tombol pause dan lanjutkan secara terus menerus. Untuk developer game solo leveling, tolong diperbaiki bug nya dulu sebelum update Hunter dll, prioritaskan bug stuck saat loading dan battle in game yg kacau tidak bisa pencet tombol dan layar bergerak sendiri"
5,"menurut gw ini game keren bgt sih, ada storyline dan juga mode lain nya....animasi dan battle efek nya keren nggak kaku...dari sistem gacha juga drop rate nya bagus, cuma kalo bole ngasih saran adain fitur untuk custom konfigurasi tombol untuk bermain, jadi bisa kita atur posisi tombol yg sesuai dengan yg kita mau....selebihnya udah keren lah...smoga terus berkembang...jangan lupa banyakin event gratis juga wkwkwk"
1,Game banyak bug dan freeze. Setiap main pasti ada aj gangguan yg mengharuskan untuk reloading. T Sebelumnya juga pernah mainkan ini tpi terkendala bug dan freeze akhirnya uninstall dan balik lagi masih tetap sama tidak ada perubahan!!! tolong developer perbaiki masalah tersebut
5,"Tolong untuk develop solo leveling, untuk dibagian tantangan battlefield waktu itu kalau bisa ketika sudah mengalahkan bos waktunya harap segera diberhentikan kalau bisa, karna yang aslinya bisa tepat waktu bahkan lebih cepat malah jadi tidak tepat waktu bahkan melebihi waktu, padahal sudah mengalahkan bos. Jadi mohon sekali diperbaiki lagi yg itu"
2,"Apa apaan ini devloper, gamenya ketika di mainkan di smartphone yang ngestuck lah, loading lama lah,bug layar hitam lah.. Ngfrezz lah.. kecewa sih sama sistem devloper yang khusus di smartphone.. Dari dulu sampai sekarang gak ada perbaikan sama sekali.. Gimana mau bersaing dengan game lain.."
5,"Recomend game, event oke, grafik,hunter,efek memuaskan, resources lumayan mudah di dapat, cuman minta tolong development buat up skill player/hunter/senjata kalo bisa di permudah, satu lagi masih ada bug dan crash yang membuat kita stuck padahal grafik sudah paling low, entah itu di in game maupun di lobby yang membuat player resah dan harus login ulang, tolong di tanggapi ulasan setiap player agar game ini tidak sepi peminat, terimakasih🙏"
1,"Animasi sering freeze, bug banyak padahal specs device dan OS di versi sebelumnya mumpuni. Sangat mengganggu pengalaman bermain, saya harus force closed aplikasi dan memulai dari halaman awal lagi. Saya harap dapat lebih diperbaiki"
3,"Dari awal rilis sampai sekarang kok g di perbaiki bug loading nya ya, bug tersebut sangat mengganggu bagi pengguna mobile, karena membuat stuck di loading dan harus relog biar bisa main lagi. Dari segi gameplay, gacha, grafik, bagus buat f2p cuman bug loading nya tolong di perbaiki karena sangat mengganggu, sementara kasih bintang 3 dulu kalo bug nya udh di hapus atau sistem nya udh di optimalin baru bintang 5"
5,"terus terang over all game nya seru, banyak actionnya, dan banyak hadiah gratisannya, tapi sayang sekali untuk beberapa HP android 11 dengan ram 4GB± masih sering frame drop padahal setinggan grafiknya sudah low rata kiri, tolong segera diperbaiki min agar kompatibel untuk dimainkan oleh user"" seperti kami, terimakasih"
3,"tolong perbaikin lagi bug nya , loading screen sering ngestuck. kadang saat ngatur formasi juga suka gak muncul hero nya ... netmarble masa gak bisa ngatesin bug ini di hp² android? game berat kaya genshin aja lancar buat mainin. saya sudah unduh data 3x tapi masih sama aja."
4,"Gamenya bagus, baik dari event berkala serta konten baru, juga permainan kompetitifnya (walaupun akhirnya P2W), tetapi dari kelihatannya berfokus pada platform PC, jadi sepertinya optimasi untuk mobile, sepertinya kurang di lihat."
5,Game nya sih memuaskan. Grafik oke. Control juga enak. Tapi 1 minus nya. Ini game. Perlu di perbaiki lagi biar ga berat. Padahal ram aku. 8 GB. Tapi game nya masih berat. Itu aja sih min. Tolong di perbaiki game nya. Biar lancar dan enak main nya.
2,"dari segi story dan grafik ok banget, minus di bug"" yg sebenernya bisa ngerusak citra sebuah game, saran aja buat developer jngan ada lagi untuk bug"" seperti itu, percuma juga data gameyg bisa di bilang besar tp bnyak sekali terdapat bug di in game nya."
1,"Tolong dong masa blank terus pas loading, masa haru ulang"" Terus keluar masuk, kontrol layar sentuh juga menurut saya kaku susah buat mengoprasikannya, rasa bermain nya jadi kurang gimana gitu, tolong dong perbaiki lagi, pantes dapet rating rendah gamenya banyak bug"
5,"Game nya sudah seru dan bug nya sudah banyak diperbaiki, saran saya untuk update selanjutnya game ini adalah 1. Kalau bisa game ini diubah dari semi open world menjadi open world saja biar lebih menarik.2. Seandainya gak bisa dibuka open world, maka map nya diperluas agar Player tidak stuck di 1 tempat. 3. Dan terakhir, untuk story kalau bisa ditambahkan story lain yang gak berhubungan sama story mahnwa"
2,"sangat di sayangkan game ini terlalu banyak bug, entah itu blackscreen, stuck loading, sampe paling parah pas lagi tarung character gua ngilang 1 dari party, padahal dari segi gameplay sangat menyenangkan untuk game santai, semoga kedepannya dapat di perbaiki, setelah itu akan ku naikan bintang nya"
5,"Dari segi story sudah bagus, malahan bagus banget, dan banyak bansos, tapi kendala nya loading saat kita ingin melanjutkan stage selanjutnya lama sekali, mau tak mau saya harus relog terlebih dahulu, dan saat sudah di lobby, layar tiba tiba menjadi hitam, Tolong diperbaiki Netmarble, Good luckk !!"
1,"Untuk developer, tolong mau sape kapan ini bug nya? Masa harus bolak balik log in ulang,loading freeze/ng stuck, di tambah udah ini udah ke 2 kalinya unduh file,download data file udah 10GB masih ttp download ulang file patch lagi?"
4,Overall sudah bagus dan nyaman di mainkan. Terimakasih developer karena sudah memdengarkan keluhan player yg ada. Dan saran saja untuk kedepannya semoga bisa di tambahkan fitur custom untuk analog dan posisi skill agar lebih nyaman.
5,"Dari segi semua hal udah hampir bagus, tapi ada dua yang agak bikin males yang pertama kadang kadang black screen tiba tiba ntah lagi transisi ke boss ato mau mencet pasukan bayangan yang ke dua loadingnya suka ngestuck dah kalo dua itu udah ilang udah bagus semua paling tinggal resource sedikit dipermudah lagi"
1,"Tolong untuk developer solo levelling arise agar di lancarkan juga performa bermain di hp jangan di pc aja saya sudah setting grafik low semua dan tidak ada ngaruh nya sama sekali, tolong di perbaiki frame drop nya,masa saya main game ghensin impact rata kanan lancar dan tidak frame drop sama sekali, ketika saya mencoba game solo levelling grafik low aja frame nya parah banget di android tolong banget buat developer"
4,"Cuman beberapa hal yang kurang, loading terlalu lama dan banyak dan paling parah bug loading screen yang selalu muncul. bukan soal jaringan yang gk bagus memang masih ada bug loading yang sering muncul, dan saran buat gameplay story ingamenya di perpanjang"
5,Setiap game mempunyai keunggulan dan kekurangan masing2 ... Mungkin di beberapa device akan tidak mudah berjalan normal atau memang device yang tidak memadai di tambah lagi game ini emang bertipe Adventure World. seperti Dragonnest Sea Pc Smoga Dapat Berkembang lagi kedepannya . perbaiki bug apapun itu agar player dapat tetap nyaman memainkan game ini . bukan karena hanya untuk ke untungan semata .. terimakasih smoga kedepannya lebih baik
1,"Terlalu banyak bug. Terutama bug screen loading, kadang bug loading gak jalan setiap menu atau bug loading sehabis dungeon. Kukira setelah maintenance akan sembuh tuh stuck di loading ternyata masih sama aja."
5,"gamenya lumayan seru, ceritanya juga hampir mirip manhwanya, game playnya juga enak dimaenkan, overall sudah cukup bagus, semoga terus dipertahankan dan ditingkatkan. tapi tolong loading screen nya masih terlalu lama. tolong perbaiki bug loading screen nya terima kasih."
1,"Banyak BUG, kadang suka berhenti sendiri di tengah loading, setiap kali keluarin bayangan game nya malah patah-patah.. padahal dah pake hp ram 8 GB lho.. memori internal masih ada puluhan GB yg kosong, kek mana ceritanya bisa kek gini? tolonglah di perbaiki dan juga semakin di update bukan malah makin bagus, malah makin jelek ni game, dan ukurannya makin gede kalo kek gini lama-kelamaan gak ada lagi yg mau mainin ini game.."
4,"bintang 4 dulu, ini saya main dari s1 sebelum perilisan global tetapi ini baru download lagi 2 Minggu yang lalu ign ""xiaozam"". terkait game sudah sangat bagus tetapi ada bug yang membuat saya kerepotan yaitu saat masuk ke gate atau Raid pulau Jeju bahkan saat story itu kadang stuck di loading saat akan masuk, itu sangat menggangu karena harus login ulang kadang juga setelah login ulang dan masuk ke gate lagi ngestuck lagi di loading, tolong di perbaiki developer🙏"
3,Game nya bagus keren grafik juga mantap yang perlu di perbaiki developer nya pertama login harus di percepat terus ketika menyelesaikan misi langsung ngestak di situ gak mau gerak lagi jadi tolong developer smua bug nya di perbaiki untuk updet selanjutnya untuk skrng bintang 3 dulu KLO udah terperbaiki baru bintang 5
4,"Overall game nya bagus sama hp entry level kayak hp ku infinix hot 40 pro helio g99, cuman perlu di fix di bagian menu nya soalnya tiap saya mencet tombol untuk masuk ke halaman berikutnya itu pasti ada jeda 1-2 detikan dan ini cukup ngeganggu sih jadi gabisa sat set buat pindah pindah ke menu lainnya dan buat gameplay entah kenapa kok sering buffering ya? Gua tau ini game online tapi kan kita gak ketemu sama player lain di in game, masak kalau jaringan lambat dikit langsung buffering?"
5,"Dari sekian banyak game pay to win, cuman game ini yg ga pelit resources , Overall game nya bagus, cuman Kurang Ramah bwt divice"" Kentang, bwt Dev, resolusi nya tolong di perkecil. Qu main resolusi rendah tapi masih suka frame."
2,Untuk masalah story sih bagus gw suka tapi yang jadi masalah masih banyak bug terutama di bagian loading screen sama layar yang blank hitam terus menerus dan harus ngulang lagi dari awal itu aja sih yang harus di perbaiki sama kontronya juga di bikin jangan terlalu kaku untuk developer mohon di perbaiki yaaa 🙏🏻🙏🏻
4,Terus terang gamenya bagus buat keseluruhan dan lumayan akurat juga dari story dan skill karakternya cuma saran kalo gamenya bisa multiplayer atau bisa PVP bisa lebih bagus buat sy yang udah lengkapin story dan semua item lengkap.
5,"Sejauh ini pengalaman gamplay sangat lancar,jaringan 4G pun masih gak terasa lagg,event dpt draw gacha gratis banyak cuman ada 1 kekurangan aja tolong ya drop rate nya lumayan ditingkatkan..sekian^^"
2,"gimana sih sebenernya, game penuh masalah baik loading maupun bug pada game playnya., awalnya dikira HP yang gak kuat padahal udah ram 6, niat banget buat main sampe pindahin ke PC udah download play store beta eh masalahnya sama aja., loading susah masuk ke game lama banget, giliran udah di lobi malah for close lah., black display lah., akhhhhh perbaiki lagi bug nya kebanyakan., jangan cuma grafic doang bagus tapi system penuh bug"
1,"Terlalu banyak loading screen jadi banyak yg stuck di loading screen , freeze lag karna game ini terlalu berat padahal device di atas rata rata , sekelas pubg black dessert aja ga terlalu berat , berharap next update problem ini bisa sedikit di atasi terimakasih 🙏🏻"
2,"untuk game nya bagus tapi ada banyak bug, bug yang paling ganggu itu bug loading screen nge stuck sama bug black screen, awal nya ku kira cuma bentar ternyata bug nya permanen, jadi kudu keluar masuk game biar ga nge bug"
5,"Mohon maaf sebelumnya,soal nya dari awal game ini rilis sampe sekarang level udah max 100 dan BT(battle class) 46,saya gk pernah komplain soal bug nya,tapi kali ini saya komplain karna setiap memulai game selalu battle gagal atau kadaluwarsa gitu,itu 80% mengganggu permainan,tolong buat developer nya di perbaiki bug nya, setelah update malah makin berserakan bug nya,mohon di tunggu segera buat developer nya memperbaiki 🙏☺."
1,"Ngga tau kenapa ya udh coba di rata kanan masih fram, coba di rata kiri juga masih fram, gua udh coba main di laptop juga sama masih fram, tolong dong di fix untuk fram dropnya apalagi kalo banyak kroco kroco tambah fram."
3,bug nya masih kelihatan saat. kita dalam mode dungeon atau di menu. sering tidak bisa kita sentuh. tombol tombolnya.. selalu harus relog. tolong di perbaiki masalah bug ini..
5,"Game bagus dan seru, namun sering nge-LAG dan patah-patah trus kadang keluar sendiri. Pengaturan resolusi sudah ke tingkat rendah tapi tetap saja patah-patah. Sekarang akun saya kena peringatan PENYALAHGUNAAN. Tolong perbaiki!!!! Terima kasih"
3,"sebelum update di hp ram 8 gamenya lancar lancar, tapi setelah update terbaru kok gamenya patah patah lag sekali, kualitas gambarnya juga jadi burik jelek. mending jangan update data yang di pake update juga besar, bukannya tambah bagus malah tambah jelek kualitas video dan gambarnya."
4,"Overall game nya bagus banget, cuma sayangnya terkendala sama bug, pas si game nya loading suka ngefreze ga jelas. Buat develover tolong diperbaiki secepatnya. Saya yakin one day game ini akan meledak. Saya tunggu update tan nyaa lagii, super seru game nya, worth it banget!!"
5,"Game nya bagus banget dari segi grafik sampe story nya mantap!!!! Cuma kurang satu sih harusnya tambahin fitur duel antar player soal nya di tempat aku banyak yg mainin game ini dan suka banding""power Jadi kalo ada fitur duel antar player bisa tambah asik"
5,"Gamenya bagus banget, saya sampe ketagihan main ini saking asiknya grinding dan banyaknya Bansos yang diberikan developer. Cuma itu loh tolong di optimalkan lagi, ini saya pakai di tab momen fightingnya agak patah-patah, sama muka karakternya setelah update malah jadi datar kalau di HP sedangkan di PC ekspresi muka karakternya bisa bergerak."
1,"Asik si game nya tapi BUG nya itu loh!!! Loading terlalu lama, bahkan sampai ga konek (black screen) Apa tak ada cita² perbaiki BUG dll yang masih minus kah? Butuh signal kuat katanya? Sdh pakai wifi 50mbps jaringan 5g loh padahal tp setiap loading selesaikan misi chapter pasti stuck ga gerak loading terus!!! Perbaiki lah!!! Gimana rating mau tinggi pelayanannya begini!!!"
3,"Gamenya padahal sangat seru, sayangnya di hp realmi 8 pro masih sering gagal/stuck proses loading. Jadi harus relog lagi, sedangkan untuk login awal membuka game butuh 3 kali proses loading dan lumayan lama. Mohon perbaikannya, terima kasih"
5,"Oke masih peduli ternyata ni Netmarble🗿 lumayanlah ada peningkatan di update sekarang, saya pengguna poco m3 pro 5g, sebelum update ni game dulu parah bet gila ngeframe, lag, bug, ada dimana-mana, sekarang udah lumayan lah jarang ngeframe, lag, bugnya, saran saya mending frame ratenya mentokin di 60 fps sisanya rata kiri aja"
5,ini game bagus...kalau ada masalah keluar sendiri dari apk nya itu karena androidnya yg kurang mampu.. Memng apk ini sepertinya ringan aslinya berat saya yg sudah ram 8GB saja masih terjadi keluar sendiri ya walaupun tdk sering sih
5,"Gamenya udh bagus, dari segi grafik juga bagus banget dan fitur fiturnya lumayan menarik gak bikin bosen saat memainkannya, cuma satu kurangnya sering banget ngestack di loading, padahal kuota saya saat main solo leveling terbilang masih banyak, tapi kok malah ngestack di loading, tolong buat developer game ini segera di perbaiki permasalahannya biar makin banyak yang bermain dan reting game bisa menjadi yang terbaik..."
3,"game nya sih seru tapi ada bug yang menjengkelkan, masa saya harus relog terus menerus sih,ada bug black screen nya, tolong segera di fix atau dihilangkan bug nya,sementara aku kasih bintang 3 dulu karena bug belum di fix"
2,"Tolong ya kenapa setiap login, mau di dalam pertandingan ataupun setelah pertandingan, itu kenapa loading nya lama banget sampai setengah jam NGENTOD. Coba lh diperbaiki lgi. Kalau kek gni dibuat sistem gamenya player lain bakal risih nunggu loading nya lama!"
4,"dari segi grafik udah bagus, game nya juga rada seru, cuma bug nya aja yg perlu di perbaiki, setiap selesai melakukan misi stuck loading nya gitu² trus jdi terpaksa harus keluar dri aplikasi dlu, semoga kedepannya diperbaiki lagi min"
3,"Dari awal main game ini waktu belum global dan yah emang bagus dan juga cukup ramah untuk f2p,tapi kenapa bug loading screen masih ada oyy dari sebelum global juga bug ini uda sangat menggangu kirain kalau uda global bakal di fix rupanya sama aja,sempat pensi beberapa bulan coba main lagi lah bug loading screen ini belum di fix sama sekali aduuh no komen dah cukup B3 untuk game ini"
2,"capek banget dah main ni game, dikit dikit gangguan server, di suruh balik ke lobby, apa coba, gimana mau nyaman main ni game klo masih ada bug nya, yaa setidaknya seru ni game😀, tapi tetep aja bikin capek, mau relog mulu biar bisa main"
3,"Untuk Grafis Oke, Ga kaku, bagus, Tapi Kurang Di Optimize Nya, Optimize Nya Jelek, Jadi Banyak Player Yang Mengalami Lag Yang Padahal Hp Nya Sudah Di Spek Mid End Contoh Nya Saya, Optimize Sangat Berpengaruh pada Kenyamanan Bermain, Jadi Tolong Tingkatin Untuk di Optimizenya Kurangi Objek Atau Benda Yang Tidak Berguna, Itu Saja Sih Yang Bisa Saya Sarankan Salam Dari Saya"
3,Gamenya dari segi permainannya bagus tapi game ini mempunyai banyak bug kayak pas masuk ke gamenya gak bisa terus pas mainin story kadang ngstuck dan lain lainya karena itulah aku kasih bintang 3 tapi game nya bagus kok cuman minusnya bug nya banyak
1,"sumpah bug loading ngerusak mood main, tolong lah di perbaiki untuk user handphone. kami juga pengen main ini game dengan tenang. ini kan game solo jadi tolong di perbaiki lagi untuk masalah jaringan. buat gane lain oke"" aja jaringan nya pas login solo leveling kerasa berat banget"
2,"Gamenya seru, tapi sering gamenya ngestack tolong dong di perbaiki, game bagus jgn di PC aja di Android juga di perhatikan, apa lagi saat loading diam gak jalan padahal grafis udh paling rendah di atur agar lancar, tapi sering berulang harus keluar lagi dan masuk game nya ulang, KLO gitu terus gmna mau betah mainnya di hp harus kah mainya di PC entahlah dev tolong dong"
1,"Hp saya Oppo reno 11f 5g ram 8/256 Game nya bagus dan tidak pelit, akan tetapi yg menjadi masalah adalah loading nya stuk diam saat mau login, saat selesai dungeon, ato saat mau masuk dungeon. Jadi sangat bikit kecewa di antara game Netmarble cuma ini yg seperti itu. 😭😭😭"
4,"Tolong dong atasi masalah bug loading, saat menjalankan misi chapter sering banget ngebug kya gtu, cepat dong dibenahi dan diupdate, gamenya bagus sayang banget bug kya gtu gak dibereskan, lihatlah komentar mereka, masalah bug pada loading ini membuat reting makin anjlok lho,"
4,"mohon maaf saya mau mengajukan saran tolong pada saat masi update cukup sekali saja video opening nya gara gara sering berulang ulang mengakibatkan kuota cepet habis update juga lama dikarenakan sinyal yang kebagi untuk video opening yang selalu terulang terus bagus si tapi sedikit saran cukup satu kali aja, saya juga gatau mengapa setiap saya update gabisa di tinggalkan dan harus menunggu waktu begitu lama untuk menunggu update nya selesai karna itu saya kadang malas mengupdate nya"
3,"Game nya bagus dan seru, tapi kenapa ya total power sung jinwoo saya malah nurun yg awalnya kisaran 180.000 malah jadi 145.000??? Ini semacam bug atau apa padahal nggak ada digonta ganti set Artefaknya. Saya jadi kesulitan menjalani misi yg butuh total power tinggi"
1,"Ini kali ke 2 saya uninstall game ini, setelah hiatus 8 bulan saya kira bug akan hilang ternyata masih banyak. Mulai dari stuck saat login, stuck saat masuk instant dungeon atau raid, stuck saat gatcha."
2,"tolong perbaiki lagi bug stuck loading screen karena sangat menggangu banget, padahal hp chipset kenceng plus ram 8gb masa masih kurang buat Spek main game ini padahal spek hp memumpuni buat main game ini masa iya kadang ngeframe drop juga tolong buat developer Netmarble diperbaiki lagi gamenya padahal gamenya seru dimainkan"
1,"Jaringan selalu bermasalah sering stag di loadiang, sering tiba tiba disuruh kembali ke loby karna game tidak berjalan dengan lancar ini terjadi di hp maupun di tablet,, mau pakai jaringan ponsel atau wifi masalah tetap sama. Tolong di perbaiki"
4,"Menurutku bagus gamenya cuman yang bikin kesel sering macet di tengah misi, jadi harus reload game lagi kalo gak gamenya berhenti di situ terus. Tolong di perbaiki ya soalnya sayang game bagus tapi sering macet😁"
1,saya kira hanya di hp saya yg mengalami loading stuck ternyata banyak juga orang yg mengalami yg sama kapan sih nih game di perbaiki bug loadingnya dari awal rilis gak di perbaiki perbaiki sampai saya sudah hapus gamenya mau main lagi liat komen dlu ternyata tambah parah bug nya astaga game bagus dengan bug loading sebagai gangguannya developer tidak ada itikat baik untuk memperbaiki mulai awal game rilis mengecewakan
2,"mohon untuk pembuat game, untuk game sudah bagus tapi untuk kestabilan sinyal diperbaiki ditingkatkan lagi, sering tiba2 stuck macet bahkan tidak connect, padahal di lingkungan full sinyal. terima kasih, semoga bisa lebih baik lagi"
1,"Mekanik game udh bagus sayangnya masih banyak yang harus di perbaiki contoh loading stuck,game terlalu berat untuk handphone,kalau lag waktu tidak berhenti jadi mengurangi bintang dalam stage,sering frame drop."
5,"aku pemasaran apakah summoning mc bisa dibuat melawan bos sendirian dalam waktu sibgkat jika kekuatan mereka besar? seperti mc hanya diam dan mereka menyelesaikan nya sendiri, aku baru bermain dan ekspektasiku sangat tinggi, game nya dibuat dengan detail yang bagus namun agak membosankan di awal, jadi aku menibggu samapi sung jinwoo mendapatkan igris dan lagi game ini memiliki rate rekrut yng baik! aku Suka! semoga tak mengecewakan dan memberi sedikit lebih banyak events menarik kedepannya!"
5,Udah bagus dari segi gameplay sama grafik cuma kadang ada bug layar hitam sama kalau loading itu gak mau jalan harus di paksa relog ini gak tau bug atau gak tapi kalau bisa mohon di perbaiki dan kalau habis main progres loading nya kadang berhenti dan sebagai player yg terkena stuck loading player nya harus relog atau login ulang semoga bisa di perbaiki lagi.
2,Tolong banget buat developer ini game nya bagus sih cuma banyak banget bug jadi buat bagian bos di stage nya gak kena damage sampai kalah gara² kehabisan waktu tapi darah bos stage nya tidak berkurang sedikit pun
