instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new,temp_cat,hr_cat
56,2011-01-03,1,0,1,10,0,1,1,1,7,8,43,17,11,33,44,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
57,2011-01-03,1,0,1,11,0,1,1,1,8,9,40,22,10,41,51,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
58,2011-01-03,1,0,1,12,0,1,1,1,9,11,35,20,13,48,61,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Noon
59,2011-01-03,1,0,1,13,0,1,1,1,10,11,35,19,8,53,61,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Noon
60,2011-01-03,1,0,1,14,0,1,1,1,11,12,30,19,11,66,77,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
61,2011-01-03,1,0,1,15,0,1,1,1,11,12,30,17,14,58,72,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
62,2011-01-03,1,0,1,16,0,1,1,1,11,12,30,17,9,67,76,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Afternoon
63,2011-01-03,1,0,1,17,0,1,1,1,10,11,30,15,11,146,157,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Afternoon
64,2011-01-03,1,0,1,18,0,1,1,1,10,13,32,7,9,148,157,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Afternoon
65,2011-01-03,1,0,1,19,0,1,1,1,8,13,47,0,8,102,110,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
66,2011-01-03,1,0,1,20,0,1,1,1,8,11,47,7,3,49,52,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
67,2011-01-03,1,0,1,21,0,1,1,1,7,10,64,9,3,49,52,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
68,2011-01-03,1,0,1,22,0,1,1,1,6,8,69,9,0,20,20,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
69,2011-01-03,1,0,1,23,0,1,1,1,7,11,55,7,1,11,12,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
70,2011-01-04,1,0,1,0,0,2,1,1,7,9,55,7,0,5,5,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
71,2011-01-04,1,0,1,1,0,2,1,1,7,9,59,7,0,2,2,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
72,2011-01-04,1,0,1,2,0,2,1,1,6,8,63,9,0,1,1,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
73,2011-01-04,1,0,1,4,0,2,1,1,6,9,63,6,0,2,2,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
74,2011-01-04,1,0,1,5,0,2,1,1,5,8,68,7,0,4,4,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
75,2011-01-04,1,0,1,6,0,2,1,1,5,8,74,7,0,36,36,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
76,2011-01-04,1,0,1,7,0,2,1,1,5,8,74,9,2,92,94,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
77,2011-01-04,1,0,1,8,0,2,1,1,6,8,69,11,2,177,179,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
78,2011-01-04,1,0,1,9,0,2,1,1,7,8,64,15,2,98,100,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
79,2011-01-04,1,0,1,10,0,2,1,2,7,7,69,22,5,37,42,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
80,2011-01-04,1,0,1,11,0,2,1,1,9,11,51,20,7,50,57,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
81,2011-01-04,1,0,1,12,0,2,1,1,9,11,51,11,12,66,78,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Noon
82,2011-01-04,1,0,1,13,0,2,1,1,10,11,56,13,18,79,97,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Noon
83,2011-01-04,1,0,1,14,0,2,1,1,11,13,52,15,9,54,63,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
84,2011-01-04,1,0,1,15,0,2,1,1,11,14,52,17,17,48,65,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
85,2011-01-04,1,0,1,16,0,2,1,1,12,14,49,17,15,68,83,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Afternoon
86,2011-01-04,1,0,1,17,0,2,1,1,11,14,48,15,10,202,212,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Afternoon
87,2011-01-04,1,0,1,18,0,2,1,1,11,13,48,13,3,179,182,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Afternoon
88,2011-01-04,1,0,1,19,0,2,1,1,10,13,48,7,2,110,112,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
89,2011-01-04,1,0,1,20,0,2,1,1,10,13,48,7,1,53,54,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
90,2011-01-04,1,0,1,21,0,2,1,1,9,14,64,0,0,48,48,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
91,2011-01-04,1,0,1,22,0,2,1,1,9,13,64,6,1,34,35,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
92,2011-01-04,1,0,1,23,0,2,1,1,8,11,69,6,2,9,11,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
93,2011-01-05,1,0,1,0,0,3,1,1,8,13,64,0,0,6,6,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
94,2011-01-05,1,0,1,1,0,3,1,1,7,10,74,6,0,6,6,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
95,2011-01-05,1,0,1,2,0,3,1,1,7,10,74,6,0,2,2,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
96,2011-01-05,1,0,1,4,0,3,1,1,10,11,48,15,0,2,2,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
97,2011-01-05,1,0,1,5,0,3,1,1,9,11,47,11,0,3,3,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
98,2011-01-05,1,0,1,6,0,3,1,1,8,10,47,15,0,33,33,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
99,2011-01-05,1,0,1,7,0,3,1,1,7,9,43,13,1,87,88,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
100,2011-01-05,1,0,1,8,0,3,1,1,8,9,40,20,3,192,195,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
101,2011-01-05,1,0,1,9,0,3,1,1,9,10,37,22,6,109,115,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
102,2011-01-05,1,0,1,10,0,3,1,1,9,10,37,22,4,53,57,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
103,2011-01-05,1,0,1,11,0,3,1,1,11,11,33,22,12,34,46,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Morning
104,2011-01-05,1,0,1,12,0,3,1,1,11,11,33,22,5,74,79,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
105,2011-01-05,1,0,1,13,0,3,1,1,11,13,30,20,6,65,71,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
106,2011-01-05,1,0,1,14,0,3,1,1,12,14,28,13,10,52,62,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
107,2011-01-05,1,0,1,15,0,3,1,1,12,14,28,13,7,55,62,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
108,2011-01-05,1,0,1,16,0,3,1,1,12,16,28,6,4,85,89,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Afternoon
109,2011-01-05,1,0,1,17,0,3,1,1,10,11,38,13,4,186,190,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Afternoon
110,2011-01-05,1,0,1,18,0,3,1,1,10,12,38,9,3,166,169,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Afternoon
111,2011-01-05,1,0,1,19,0,3,1,1,10,13,38,7,5,127,132,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
112,2011-01-05,1,0,1,20,0,3,1,1,9,11,47,11,7,82,89,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
113,2011-01-05,1,0,1,21,0,3,1,1,8,10,51,13,3,40,43,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
114,2011-01-05,1,0,1,22,0,3,1,1,7,10,55,9,1,41,42,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
115,2011-01-05,1,0,1,23,0,3,1,1,8,13,47,0,1,18,19,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
116,2011-01-06,1,0,1,0,0,4,1,1,7,12,55,0,0,11,11,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
117,2011-01-06,1,0,1,1,0,4,1,1,7,11,64,0,0,4,4,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
118,2011-01-06,1,0,1,2,0,4,1,1,7,11,64,0,0,2,2,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
119,2011-01-06,1,0,1,4,0,4,1,2,7,10,64,6,0,1,1,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Night
120,2011-01-06,1,0,1,5,0,4,1,2,6,9,69,6,0,4,4,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
121,2011-01-06,1,0,1,6,0,4,1,2,6,8,63,7,0,36,36,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
122,2011-01-06,1,0,1,7,0,4,1,2,7,11,59,0,0,95,95,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
123,2011-01-06,1,0,1,8,0,4,1,1,7,11,59,0,3,216,219,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
124,2011-01-06,1,0,1,9,0,4,1,2,7,12,51,0,6,116,122,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
125,2011-01-06,1,0,1,10,0,4,1,1,8,13,47,0,3,42,45,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
126,2011-01-06,1,0,1,11,0,4,1,1,9,13,44,6,2,57,59,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
127,2011-01-06,1,0,1,12,0,4,1,1,11,14,35,0,6,78,84,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
128,2011-01-06,1,0,1,13,0,4,1,1,11,14,35,7,12,55,67,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
129,2011-01-06,1,0,1,14,0,4,1,1,11,14,36,11,11,59,70,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
130,2011-01-06,1,0,1,15,0,4,1,1,11,14,36,0,8,54,62,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
131,2011-01-06,1,0,1,16,0,4,1,1,11,13,38,11,12,74,86,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Afternoon
132,2011-01-06,1,0,1,17,0,4,1,1,9,11,51,11,9,163,172,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Afternoon
133,2011-01-06,1,0,1,18,0,4,1,1,9,11,51,9,5,158,163,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Afternoon
134,2011-01-06,1,0,1,19,0,4,1,1,9,13,55,6,3,109,112,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
135,2011-01-06,1,0,1,20,0,4,1,1,8,11,51,11,3,66,69,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
136,2011-01-06,1,0,1,21,0,4,1,2,9,11,55,15,0,48,48,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Evening
137,2011-01-06,1,0,1,22,0,4,1,2,9,11,51,19,1,51,52,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Evening
138,2011-01-06,1,0,1,23,0,4,1,2,8,10,59,13,4,19,23,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Night
139,2011-01-07,1,0,1,0,0,5,1,2,8,10,64,13,4,13,17,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Night
140,2011-01-07,1,0,1,1,0,5,1,2,8,10,69,15,2,5,7,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Night
141,2011-01-07,1,0,1,2,0,5,1,2,8,10,69,15,0,1,1,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Night
142,2011-01-07,1,0,1,4,0,5,1,2,8,11,69,9,0,1,1,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Night
143,2011-01-07,1,0,1,5,0,5,1,3,9,14,55,0,0,5,5,Spring,Friday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cold,Morning
144,2011-01-07,1,0,1,6,0,5,1,2,8,13,69,0,8,26,34,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
145,2011-01-07,1,0,1,7,0,5,1,1,8,11,69,9,8,76,84,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
146,2011-01-07,1,0,1,8,0,5,1,1,8,10,51,17,20,190,210,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
147,2011-01-07,1,0,1,9,0,5,1,1,8,9,47,20,9,125,134,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
148,2011-01-07,1,0,1,10,0,5,1,1,9,10,37,22,16,47,63,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
149,2011-01-07,1,0,1,11,0,5,1,2,8,10,40,15,19,48,67,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
150,2011-01-07,1,0,1,12,0,5,1,2,8,10,37,17,9,50,59,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Noon
151,2011-01-07,1,0,1,13,0,5,1,2,8,9,37,19,9,64,73,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Noon
152,2011-01-07,1,0,1,14,0,5,1,2,8,10,40,17,7,43,50,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Noon
153,2011-01-07,1,0,1,15,0,5,1,2,8,11,37,11,9,63,72,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Noon
154,2011-01-07,1,0,1,16,0,5,1,2,8,11,37,11,5,82,87,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Afternoon
155,2011-01-07,1,0,1,17,0,5,1,2,8,13,37,0,9,178,187,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Afternoon
156,2011-01-07,1,0,1,18,0,5,1,1,8,11,40,6,7,116,123,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Afternoon
157,2011-01-07,1,0,1,19,0,5,1,1,7,10,55,6,3,92,95,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
158,2011-01-07,1,0,1,20,0,5,1,1,7,11,47,7,1,50,51,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
159,2011-01-07,1,0,1,21,0,5,1,1,7,10,47,9,0,39,39,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
160,2011-01-07,1,0,1,22,0,5,1,2,7,10,43,11,2,34,36,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Evening
