instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new
16,2011-01-01,1,0,1,15,0,6,0,2,18,22,77,20,40,70,110,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
17,2011-01-01,1,0,1,16,0,6,0,2,17,21,82,20,41,52,93,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
18,2011-01-01,1,0,1,17,0,6,0,2,18,22,82,19,15,52,67,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
19,2011-01-01,1,0,1,18,0,6,0,3,17,21,88,17,9,26,35,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
20,2011-01-01,1,0,1,19,0,6,0,3,17,21,88,17,6,31,37,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
21,2011-01-01,1,0,1,20,0,6,0,2,16,20,87,17,11,25,36,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
22,2011-01-01,1,0,1,21,0,6,0,2,16,20,87,13,3,31,34,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
23,2011-01-01,1,0,1,22,0,6,0,2,16,20,94,15,11,17,28,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
24,2011-01-01,1,0,1,23,0,6,0,2,19,23,88,20,15,24,39,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
25,2011-01-02,1,0,1,0,0,0,0,2,19,23,88,20,4,13,17,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
26,2011-01-02,1,0,1,1,0,0,0,2,18,22,94,17,1,16,17,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
27,2011-01-02,1,0,1,2,0,0,0,2,17,21,100,19,1,8,9,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
28,2011-01-02,1,0,1,3,0,0,0,2,19,23,94,13,2,4,6,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
29,2011-01-02,1,0,1,4,0,0,0,2,19,23,94,13,2,1,3,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
30,2011-01-02,1,0,1,6,0,0,0,3,17,21,77,20,0,2,2,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
31,2011-01-02,1,0,1,7,0,0,0,2,16,20,76,13,0,1,1,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
32,2011-01-02,1,0,1,8,0,0,0,3,16,20,71,15,0,8,8,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
33,2011-01-02,1,0,1,9,0,0,0,2,16,20,76,15,1,19,20,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
34,2011-01-02,1,0,1,10,0,0,0,2,15,17,81,15,7,46,53,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
35,2011-01-02,1,0,1,11,0,0,0,2,15,17,71,17,16,54,70,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
36,2011-01-02,1,0,1,12,0,0,0,2,15,17,66,20,20,73,93,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
37,2011-01-02,1,0,1,13,0,0,0,2,15,17,66,9,11,64,75,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
38,2011-01-02,1,0,1,14,0,0,0,3,15,17,76,13,4,55,59,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
39,2011-01-02,1,0,1,15,0,0,0,3,14,17,81,11,19,55,74,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
40,2011-01-02,1,0,1,16,0,0,0,3,14,17,71,11,9,67,76,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
41,2011-01-02,1,0,1,17,0,0,0,1,14,17,57,13,7,58,65,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
42,2011-01-02,1,0,1,18,0,0,0,2,15,17,46,22,10,43,53,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
43,2011-01-02,1,0,1,19,0,0,0,1,13,14,42,30,1,29,30,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
44,2011-01-02,1,0,1,20,0,0,0,1,12,14,39,24,5,17,22,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
45,2011-01-02,1,0,1,21,0,0,0,1,11,11,44,22,11,20,31,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
46,2011-01-02,1,0,1,22,0,0,0,1,10,11,44,20,0,9,9,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
47,2011-01-02,1,0,1,23,0,0,0,1,9,11,47,11,0,8,8,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
48,2011-01-03,1,0,1,0,0,1,1,1,9,10,44,24,0,5,5,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
49,2011-01-03,1,0,1,1,0,1,1,1,8,8,44,28,0,2,2,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
50,2011-01-03,1,0,1,4,0,1,1,1,7,7,47,26,0,1,1,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
51,2011-01-03,1,0,1,5,0,1,1,1,7,7,47,19,0,3,3,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
52,2011-01-03,1,0,1,6,0,1,1,1,6,5,50,26,0,30,30,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
53,2011-01-03,1,0,1,7,0,1,1,1,6,7,50,13,1,63,64,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
54,2011-01-03,1,0,1,8,0,1,1,1,6,6,50,19,1,153,154,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
55,2011-01-03,1,0,1,9,0,1,1,1,7,7,43,26,7,81,88,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
56,2011-01-03,1,0,1,10,0,1,1,1,7,8,43,17,11,33,44,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
57,2011-01-03,1,0,1,11,0,1,1,1,8,9,40,22,10,41,51,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
58,2011-01-03,1,0,1,12,0,1,1,1,9,11,35,20,13,48,61,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
59,2011-01-03,1,0,1,13,0,1,1,1,10,11,35,19,8,53,61,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
60,2011-01-03,1,0,1,14,0,1,1,1,11,12,30,19,11,66,77,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
61,2011-01-03,1,0,1,15,0,1,1,1,11,12,30,17,14,58,72,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
62,2011-01-03,1,0,1,16,0,1,1,1,11,12,30,17,9,67,76,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
63,2011-01-03,1,0,1,17,0,1,1,1,10,11,30,15,11,146,157,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
64,2011-01-03,1,0,1,18,0,1,1,1,10,13,32,7,9,148,157,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
65,2011-01-03,1,0,1,19,0,1,1,1,8,13,47,0,8,102,110,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
66,2011-01-03,1,0,1,20,0,1,1,1,8,11,47,7,3,49,52,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
67,2011-01-03,1,0,1,21,0,1,1,1,7,10,64,9,3,49,52,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
68,2011-01-03,1,0,1,22,0,1,1,1,6,8,69,9,0,20,20,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
69,2011-01-03,1,0,1,23,0,1,1,1,7,11,55,7,1,11,12,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
70,2011-01-04,1,0,1,0,0,2,1,1,7,9,55,7,0,5,5,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
71,2011-01-04,1,0,1,1,0,2,1,1,7,9,59,7,0,2,2,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
72,2011-01-04,1,0,1,2,0,2,1,1,6,8,63,9,0,1,1,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
73,2011-01-04,1,0,1,4,0,2,1,1,6,9,63,6,0,2,2,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
74,2011-01-04,1,0,1,5,0,2,1,1,5,8,68,7,0,4,4,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
75,2011-01-04,1,0,1,6,0,2,1,1,5,8,74,7,0,36,36,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
76,2011-01-04,1,0,1,7,0,2,1,1,5,8,74,9,2,92,94,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
77,2011-01-04,1,0,1,8,0,2,1,1,6,8,69,11,2,177,179,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
78,2011-01-04,1,0,1,9,0,2,1,1,7,8,64,15,2,98,100,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
79,2011-01-04,1,0,1,10,0,2,1,2,7,7,69,22,5,37,42,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
80,2011-01-04,1,0,1,11,0,2,1,1,9,11,51,20,7,50,57,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
81,2011-01-04,1,0,1,12,0,2,1,1,9,11,51,11,12,66,78,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
82,2011-01-04,1,0,1,13,0,2,1,1,10,11,56,13,18,79,97,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
83,2011-01-04,1,0,1,14,0,2,1,1,11,13,52,15,9,54,63,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
84,2011-01-04,1,0,1,15,0,2,1,1,11,14,52,17,17,48,65,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
85,2011-01-04,1,0,1,16,0,2,1,1,12,14,49,17,15,68,83,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
86,2011-01-04,1,0,1,17,0,2,1,1,11,14,48,15,10,202,212,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
87,2011-01-04,1,0,1,18,0,2,1,1,11,13,48,13,3,179,182,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
88,2011-01-04,1,0,1,19,0,2,1,1,10,13,48,7,2,110,112,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
89,2011-01-04,1,0,1,20,0,2,1,1,10,13,48,7,1,53,54,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
90,2011-01-04,1,0,1,21,0,2,1,1,9,14,64,0,0,48,48,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
91,2011-01-04,1,0,1,22,0,2,1,1,9,13,64,6,1,34,35,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
92,2011-01-04,1,0,1,23,0,2,1,1,8,11,69,6,2,9,11,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
93,2011-01-05,1,0,1,0,0,3,1,1,8,13,64,0,0,6,6,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
94,2011-01-05,1,0,1,1,0,3,1,1,7,10,74,6,0,6,6,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
95,2011-01-05,1,0,1,2,0,3,1,1,7,10,74,6,0,2,2,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
96,2011-01-05,1,0,1,4,0,3,1,1,10,11,48,15,0,2,2,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
97,2011-01-05,1,0,1,5,0,3,1,1,9,11,47,11,0,3,3,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
98,2011-01-05,1,0,1,6,0,3,1,1,8,10,47,15,0,33,33,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
99,2011-01-05,1,0,1,7,0,3,1,1,7,9,43,13,1,87,88,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
100,2011-01-05,1,0,1,8,0,3,1,1,8,9,40,20,3,192,195,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
101,2011-01-05,1,0,1,9,0,3,1,1,9,10,37,22,6,109,115,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
102,2011-01-05,1,0,1,10,0,3,1,1,9,10,37,22,4,53,57,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
103,2011-01-05,1,0,1,11,0,3,1,1,11,11,33,22,12,34,46,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
104,2011-01-05,1,0,1,12,0,3,1,1,11,11,33,22,5,74,79,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
105,2011-01-05,1,0,1,13,0,3,1,1,11,13,30,20,6,65,71,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
106,2011-01-05,1,0,1,14,0,3,1,1,12,14,28,13,10,52,62,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
107,2011-01-05,1,0,1,15,0,3,1,1,12,14,28,13,7,55,62,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
108,2011-01-05,1,0,1,16,0,3,1,1,12,16,28,6,4,85,89,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
109,2011-01-05,1,0,1,17,0,3,1,1,10,11,38,13,4,186,190,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
110,2011-01-05,1,0,1,18,0,3,1,1,10,12,38,9,3,166,169,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
111,2011-01-05,1,0,1,19,0,3,1,1,10,13,38,7,5,127,132,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
112,2011-01-05,1,0,1,20,0,3,1,1,9,11,47,11,7,82,89,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
113,2011-01-05,1,0,1,21,0,3,1,1,8,10,51,13,3,40,43,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
114,2011-01-05,1,0,1,22,0,3,1,1,7,10,55,9,1,41,42,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
115,2011-01-05,1,0,1,23,0,3,1,1,8,13,47,0,1,18,19,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
116,2011-01-06,1,0,1,0,0,4,1,1,7,12,55,0,0,11,11,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
117,2011-01-06,1,0,1,1,0,4,1,1,7,11,64,0,0,4,4,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
118,2011-01-06,1,0,1,2,0,4,1,1,7,11,64,0,0,2,2,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
119,2011-01-06,1,0,1,4,0,4,1,2,7,10,64,6,0,1,1,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
120,2011-01-06,1,0,1,5,0,4,1,2,6,9,69,6,0,4,4,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
121,2011-01-06,1,0,1,6,0,4,1,2,6,8,63,7,0,36,36,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
122,2011-01-06,1,0,1,7,0,4,1,2,7,11,59,0,0,95,95,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
123,2011-01-06,1,0,1,8,0,4,1,1,7,11,59,0,3,216,219,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
124,2011-01-06,1,0,1,9,0,4,1,2,7,12,51,0,6,116,122,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
125,2011-01-06,1,0,1,10,0,4,1,1,8,13,47,0,3,42,45,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
126,2011-01-06,1,0,1,11,0,4,1,1,9,13,44,6,2,57,59,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
127,2011-01-06,1,0,1,12,0,4,1,1,11,14,35,0,6,78,84,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
128,2011-01-06,1,0,1,13,0,4,1,1,11,14,35,7,12,55,67,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
129,2011-01-06,1,0,1,14,0,4,1,1,11,14,36,11,11,59,70,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
130,2011-01-06,1,0,1,15,0,4,1,1,11,14,36,0,8,54,62,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
131,2011-01-06,1,0,1,16,0,4,1,1,11,13,38,11,12,74,86,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
132,2011-01-06,1,0,1,17,0,4,1,1,9,11,51,11,9,163,172,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
133,2011-01-06,1,0,1,18,0,4,1,1,9,11,51,9,5,158,163,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
134,2011-01-06,1,0,1,19,0,4,1,1,9,13,55,6,3,109,112,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
135,2011-01-06,1,0,1,20,0,4,1,1,8,11,51,11,3,66,69,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
136,2011-01-06,1,0,1,21,0,4,1,2,9,11,55,15,0,48,48,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
137,2011-01-06,1,0,1,22,0,4,1,2,9,11,51,19,1,51,52,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
138,2011-01-06,1,0,1,23,0,4,1,2,8,10,59,13,4,19,23,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
139,2011-01-07,1,0,1,0,0,5,1,2,8,10,64,13,4,13,17,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
140,2011-01-07,1,0,1,1,0,5,1,2,8,10,69,15,2,5,7,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
141,2011-01-07,1,0,1,2,0,5,1,2,8,10,69,15,0,1,1,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
142,2011-01-07,1,0,1,4,0,5,1,2,8,11,69,9,0,1,1,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
143,2011-01-07,1,0,1,5,0,5,1,3,9,14,55,0,0,5,5,Spring,Friday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
144,2011-01-07,1,0,1,6,0,5,1,2,8,13,69,0,8,26,34,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
145,2011-01-07,1,0,1,7,0,5,1,1,8,11,69,9,8,76,84,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
146,2011-01-07,1,0,1,8,0,5,1,1,8,10,51,17,20,190,210,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
147,2011-01-07,1,0,1,9,0,5,1,1,8,9,47,20,9,125,134,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
148,2011-01-07,1,0,1,10,0,5,1,1,9,10,37,22,16,47,63,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
149,2011-01-07,1,0,1,11,0,5,1,2,8,10,40,15,19,48,67,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
150,2011-01-07,1,0,1,12,0,5,1,2,8,10,37,17,9,50,59,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
151,2011-01-07,1,0,1,13,0,5,1,2,8,9,37,19,9,64,73,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
152,2011-01-07,1,0,1,14,0,5,1,2,8,10,40,17,7,43,50,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
153,2011-01-07,1,0,1,15,0,5,1,2,8,11,37,11,9,63,72,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
154,2011-01-07,1,0,1,16,0,5,1,2,8,11,37,11,5,82,87,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
155,2011-01-07,1,0,1,17,0,5,1,2,8,13,37,0,9,178,187,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
156,2011-01-07,1,0,1,18,0,5,1,1,8,11,40,6,7,116,123,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
157,2011-01-07,1,0,1,19,0,5,1,1,7,10,55,6,3,92,95,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
158,2011-01-07,1,0,1,20,0,5,1,1,7,11,47,7,1,50,51,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
159,2011-01-07,1,0,1,21,0,5,1,1,7,10,47,9,0,39,39,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
160,2011-01-07,1,0,1,22,0,5,1,2,7,10,43,11,2,34,36,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
161,2011-01-07,1,0,1,23,0,5,1,2,7,10,51,11,1,14,15,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
162,2011-01-08,1,0,1,0,0,6,0,2,7,10,51,11,1,24,25,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
163,2011-01-08,1,0,1,1,0,6,0,2,7,11,55,6,1,15,16,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
164,2011-01-08,1,0,1,2,0,6,0,2,7,12,55,0,3,13,16,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
165,2011-01-08,1,0,1,3,0,6,0,3,7,10,55,11,0,7,7,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
166,2011-01-08,1,0,1,4,0,6,0,3,7,10,55,11,0,1,1,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
167,2011-01-08,1,0,1,5,0,6,0,2,7,8,74,11,0,5,5,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
168,2011-01-08,1,0,1,6,0,6,0,2,7,8,74,11,0,2,2,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
169,2011-01-08,1,0,1,7,0,6,0,2,7,9,74,7,1,8,9,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
170,2011-01-08,1,0,1,8,0,6,0,3,7,9,93,7,0,15,15,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
171,2011-01-08,1,0,1,9,0,6,0,3,7,9,93,7,0,20,20,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
172,2011-01-08,1,0,1,10,0,6,0,2,7,10,80,11,5,56,61,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
173,2011-01-08,1,0,1,11,0,6,0,2,8,9,69,26,2,60,62,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
