,Year_Birth,Education,Income,NumWebVisitsMonth,Total_Day,Total_Cmp,Total_Purchase,Total_Child,Cluster
64,1959,Graduation,65031.0,7,469,0.0,30.0,1.0,3
65,1975,PhD,60631.0,7,450,1.0,24.0,2.0,3
66,1952,Graduation,28332.0,2,60,0.0,8.0,0.0,0
67,1977,Graduation,40246.0,6,557,0.0,4.0,1.0,1
68,1972,Master,75251.0,5,671,1.0,19.0,0.0,4
69,1976,Graduation,75825.0,4,625,2.0,22.0,0.0,4
70,1976,2n Cycle,26326.0,3,298,0.0,4.0,0.0,0
71,1965,Graduation,56046.0,8,543,2.0,21.0,0.0,2
72,1985,Graduation,29760.0,8,669,0.0,12.0,1.0,1
73,1969,Graduation,26304.0,7,371,0.0,4.0,1.0,0
74,1973,2n Cycle,23559.0,7,361,0.0,9.0,1.0,0
75,1963,Master,38620.0,3,414,0.0,11.0,0.0,1
76,1987,Graduation,81361.0,1,124,0.0,27.0,0.0,4
77,1960,Graduation,29440.0,7,322,0.0,7.0,2.0,1
78,1970,Master,36138.0,7,348,1.0,13.0,2.0,1
79,1957,Graduation,50388.0,7,32,3.0,17.0,1.0,2
80,1973,Graduation,79593.0,2,48,1.0,19.0,0.0,4
81,1967,Graduation,54178.0,2,159,0.0,10.0,1.0,2
82,1972,Master,42394.0,7,98,0.0,5.0,1.0,1
83,1970,PhD,23626.0,5,36,0.0,10.0,1.0,0
84,1983,Graduation,30096.0,6,38,0.0,6.0,1.0,1
85,1960,Graduation,47916.0,6,584,1.0,22.0,1.0,2
86,1972,Graduation,51813.0,7,444,0.0,7.0,2.0,2
87,1951,2n Cycle,78497.0,2,210,1.0,25.0,0.0,4
88,1983,PhD,50150.0,5,374,0.0,16.0,0.0,2
89,1960,2n Cycle,47823.0,8,341,0.0,7.0,1.0,2
90,1959,PhD,34554.0,6,91,0.0,7.0,1.0,1
91,1979,Graduation,85693.0,5,435,0.0,27.0,1.0,4
92,1945,PhD,65846.0,4,408,0.0,16.0,0.0,3
93,1959,Graduation,87195.0,1,52,1.0,20.0,0.0,4
94,1979,Basic,24594.0,5,201,0.0,5.0,1.0,0
95,1964,Graduation,49096.0,7,278,0.0,13.0,2.0,2
96,1969,Graduation,52413.0,6,512,0.0,26.0,2.0,2
97,1978,Graduation,38557.0,7,557,0.0,9.0,1.0,1
98,1960,Master,89058.0,2,569,0.0,14.0,0.0,4
99,1979,Graduation,77298.0,3,239,0.0,24.0,1.0,4
100,1991,PhD,68126.0,9,596,2.0,17.0,0.0,3
101,1963,Master,57288.0,6,4,1.0,20.0,1.0,2
102,1991,Graduation,86037.0,3,543,3.0,25.0,0.0,4
103,1980,PhD,43974.0,7,564,0.0,21.0,1.0,1
104,1962,Graduation,50785.0,6,292,0.0,8.0,2.0,2
105,1970,Graduation,90765.0,1,156,2.0,15.0,0.0,4
106,1978,2n Cycle,36550.0,9,495,0.0,20.0,1.0,1
107,1967,2n Cycle,30753.0,5,353,0.0,7.0,2.0,1
108,1969,Graduation,21918.0,6,227,0.0,7.0,1.0,0
109,1953,Master,56129.0,4,374,0.0,22.0,1.0,2
110,1967,Master,32557.0,5,125,1.0,9.0,1.0,1
111,1985,Master,19510.0,7,298,0.0,6.0,2.0,0
112,1976,Graduation,30992.0,7,433,0.0,5.0,1.0,1
113,1983,Graduation,101970.0,2,474,4.0,27.0,0.0,4
114,1965,2n Cycle,71488.0,1,496,0.0,16.0,0.0,3
115,1984,Graduation,79607.0,1,434,1.0,16.0,0.0,4
116,1953,Master,54348.0,6,21,0.0,8.0,2.0,2
117,1956,PhD,77376.0,4,50,0.0,23.0,2.0,4
118,1952,Graduation,62998.0,5,272,0.0,19.0,1.0,3
119,1958,Master,61331.0,8,476,0.0,23.0,2.0,3
120,1969,Graduation,73448.0,4,139,0.0,19.0,0.0,3
121,1964,PhD,41551.0,8,319,0.0,16.0,2.0,1
122,1967,PhD,62981.0,3,469,1.0,23.0,0.0,3
123,1976,Basic,9548.0,8,690,0.0,6.0,1.0,0
124,1959,PhD,33762.0,8,357,0.0,9.0,3.0,1
125,1973,PhD,35860.0,5,41,2.0,6.0,2.0,1
126,1965,PhD,36921.0,7,336,0.0,7.0,2.0,1
127,1992,Master,92859.0,2,618,0.0,22.0,0.0,4
128,1976,Master,65104.0,7,227,1.0,17.0,1.0,3
129,1962,Graduation,86111.0,2,436,0.0,23.0,0.0,4
130,1974,PhD,68352.0,6,305,0.0,25.0,1.0,3
131,1988,Graduation,41883.0,7,467,0.0,12.0,1.0,1
132,1976,Graduation,59809.0,8,619,0.0,15.0,2.0,3
133,1975,Graduation,23957.0,6,609,1.0,6.0,1.0,0
134,1981,Graduation,38547.0,8,305,0.0,4.0,1.0,1
135,1973,2n Cycle,35688.0,8,676,0.0,16.0,3.0,1
136,1966,Master,49605.0,3,8,0.0,8.0,0.0,2
137,1953,Master,59354.0,3,66,0.0,16.0,2.0,3
138,1969,Graduation,65747.0,6,114,1.0,19.0,1.0,3
139,1972,2n Cycle,46344.0,7,562,0.0,17.0,1.0,2
140,1988,Graduation,34176.0,6,48,0.0,11.0,1.0,1
141,1952,PhD,61010.0,5,628,0.0,26.0,1.0,3
142,1949,Graduation,69372.0,4,495,3.0,21.0,0.0,3
143,1958,Graduation,49967.0,7,356,0.0,15.0,1.0,2
144,1978,Graduation,60199.0,4,290,0.0,4.0,3.0,3
145,1977,Graduation,55375.0,2,255,0.0,9.0,1.0,2
146,1955,Graduation,80317.0,1,313,0.0,18.0,0.0,4
147,1958,Master,30523.0,7,363,0.0,4.0,3.0,1
148,1945,PhD,70356.0,6,601,0.0,27.0,0.0,3
149,1984,Graduation,23228.0,8,175,0.0,11.0,1.0,0
150,1975,PhD,74165.0,2,424,0.0,20.0,0.0,3
151,1966,Graduation,43482.0,6,228,0.0,9.0,3.0,1
152,1953,Graduation,62551.0,3,223,1.0,18.0,0.0,3
153,1959,Graduation,52332.0,4,305,1.0,12.0,0.0,2
154,1988,Graduation,66951.0,1,239,0.0,15.0,0.0,3
155,1957,Graduation,26091.0,5,124,0.0,9.0,2.0,0
156,1965,Graduation,33456.0,7,69,0.0,6.0,2.0,1
157,1982,Graduation,28718.0,8,351,0.0,7.0,1.0,0
158,1970,Graduation,50447.0,6,69,0.0,8.0,2.0,2
159,1959,PhD,53537.0,5,150,0.0,8.0,2.0,2
160,1967,Graduation,52074.0,4,86,1.0,7.0,1.0,2
161,1975,PhD,80427.0,5,655,0.0,28.0,1.0,4
162,1948,PhD,83837.0,4,560,3.0,25.0,0.0,4
163,1970,PhD,38853.0,7,37,0.0,7.0,2.0,1
164,1959,Graduation,38285.0,2,5,0.0,4.0,3.0,1
165,1951,2n Cycle,78497.0,2,210,1.0,25.0,0.0,4
166,1976,PhD,51650.0,5,49,0.0,10.0,1.0,2
167,1988,2n Cycle,16248.0,6,50,0.0,9.0,1.0,0
168,1946,Master,66835.0,2,274,0.0,24.0,0.0,3
169,1984,Master,30477.0,6,158,0.0,6.0,1.0,1
170,1961,Basic,28249.0,6,14,0.0,6.0,0.0,0
171,1983,Graduation,25271.0,9,571,0.0,5.0,1.0,0
172,1970,PhD,32303.0,5,113,0.0,7.0,1.0,1
173,1966,Graduation,61286.0,5,331,0.0,18.0,1.0,3
174,1976,Graduation,74068.0,2,467,0.0,24.0,0.0,3
175,1964,PhD,45759.0,7,491,0.0,7.0,2.0,2
176,1978,Basic,24882.0,6,658,1.0,5.0,1.0,0
177,1989,PhD,66973.0,3,408,0.0,28.0,0.0,3
178,1988,Graduation,38872.0,8,395,0.0,8.0,1.0,1
179,1973,Graduation,51148.0,6,496,0.0,16.0,2.0,2
180,1977,Graduation,31353.0,8,182,0.0,6.0,2.0,1
181,1980,Master,69661.0,3,47,0.0,23.0,0.0,3
182,1954,Graduation,80067.0,2,283,1.0,17.0,0.0,4
183,1954,Graduation,86718.0,2,528,0.0,17.0,0.0,4
184,1973,PhD,46854.0,8,90,2.0,15.0,2.0,2
185,1952,Graduation,69142.0,5,0,1.0,19.0,1.0,3
186,1968,Graduation,75922.0,1,202,0.0,18.0,0.0,4
187,1978,Graduation,63693.0,6,258,0.0,29.0,1.0,3
188,1977,PhD,102160.0,4,604,4.0,26.0,0.0,4
189,1965,PhD,40637.0,7,347,0.0,6.0,2.0,1
190,1984,Master,18890.0,6,596,2.0,4.0,0.0,0
191,1988,Graduation,29604.0,9,203,1.0,5.0,1.0,1
192,1963,Master,48721.0,6,412,0.0,17.0,2.0,2
193,1966,Graduation,44794.0,6,21,0.0,6.0,1.0,2
194,1954,Graduation,64497.0,8,657,2.0,29.0,1.0,3
195,1956,Graduation,46097.0,4,455,0.0,15.0,1.0,2
196,1954,Graduation,77972.0,1,103,0.0,20.0,0.0,4
197,1968,PhD,44377.0,8,632,0.0,19.0,2.0,2
198,1974,Master,46014.0,7,524,0.0,26.0,2.0,2
199,1985,Graduation,70951.0,1,421,0.0,17.0,0.0,3
200,1977,Graduation,41443.0,8,89,0.0,20.0,1.0,1
201,1978,2n Cycle,52195.0,8,48,0.0,4.0,3.0,2
202,1948,Master,83790.0,3,226,2.0,25.0,0.0,4
203,1954,Master,44551.0,7,302,0.0,12.0,1.0,2
204,1980,Graduation,69508.0,6,592,0.0,28.0,1.0,3
205,1988,2n Cycle,45204.0,3,79,0.0,7.0,1.0,2
206,1969,Graduation,72460.0,1,227,0.0,16.0,0.0,3
207,1970,PhD,77622.0,3,76,0.0,22.0,2.0,4
208,1980,PhD,30732.0,8,540,0.0,13.0,1.0,1
209,1962,Graduation,63887.0,6,659,0.0,32.0,1.0,3
210,1978,Graduation,42011.0,8,460,0.0,12.0,1.0,1
211,1976,Graduation,51369.0,8,612,0.0,16.0,1.0,2
212,1952,Graduation,51537.0,8,567,0.0,18.0,1.0,2
213,1972,PhD,79930.0,2,690,0.0,17.0,0.0,4
214,1986,PhD,34320.0,8,133,0.0,4.0,1.0,1
215,1966,Graduation,37070.0,7,466,1.0,23.0,2.0,1
216,1962,2n Cycle,81975.0,7,540,1.0,14.0,1.0,4
217,1971,Graduation,38590.0,8,410,0.0,4.0,1.0,1
218,1951,Graduation,15033.0,3,74,0.0,5.0,0.0,0
219,1965,PhD,62745.0,5,463,0.0,29.0,1.0,3
220,1975,2n Cycle,22212.0,6,202,0.0,8.0,1.0,0
221,1982,Master,23661.0,7,207,0.0,5.0,1.0,0
222,1958,PhD,79761.0,3,268,0.0,19.0,1.0,4
223,1973,Graduation,7500.0,7,185,0.0,11.0,1.0,0
224,1968,Graduation,73455.0,3,244,1.0,22.0,0.0,3
225,1958,Graduation,64961.0,3,553,0.0,16.0,1.0,3
226,1971,Graduation,22804.0,9,333,0.0,5.0,1.0,0
227,1990,Graduation,73687.0,2,213,2.0,22.0,0.0,3
228,1958,Graduation,61074.0,7,681,0.0,31.0,1.0,3
229,1964,PhD,31686.0,6,24,0.0,6.0,2.0,1
230,1972,Graduation,80134.0,6,405,4.0,16.0,1.0,4
231,1953,Graduation,75027.0,5,536,0.0,21.0,1.0,4
232,1988,PhD,67546.0,3,667,0.0,20.0,0.0,3
233,1969,Master,65176.0,6,608,0.0,25.0,1.0,3
234,1975,Master,31160.0,8,286,0.0,7.0,1.0,1
235,1985,Graduation,29938.0,6,245,0.0,6.0,1.0,1
236,1974,Graduation,102692.0,2,450,5.0,29.0,0.0,4
237,1958,2n Cycle,26490.0,6,645,0.0,11.0,0.0,0
238,1967,Graduation,75702.0,8,669,0.0,26.0,2.0,4
239,1974,PhD,30899.0,6,624,0.0,6.0,1.0,1
240,1961,PhD,63342.0,6,621,1.0,19.0,1.0,3
241,1964,Graduation,45989.0,3,615,0.0,16.0,1.0,2
242,1964,Graduation,18701.0,5,390,0.0,10.0,2.0,0
243,1957,PhD,40737.0,8,203,0.0,4.0,3.0,1
244,1979,Graduation,15287.0,7,627,2.0,6.0,1.0,0
245,1968,PhD,69674.0,5,403,0.0,25.0,2.0,3
246,1970,Master,44159.0,5,12,0.0,15.0,1.0,2
247,1978,PhD,37717.0,9,583,0.0,4.0,1.0,1
248,1952,Master,43776.0,8,511,1.0,17.0,2.0,1
249,1966,Master,38179.0,7,472,0.0,11.0,2.0,1
250,1963,Graduation,80124.0,1,3,1.0,19.0,0.0,4
251,1970,PhD,38097.0,7,622,2.0,11.0,2.0,1
252,1970,Graduation,72940.0,1,375,0.0,13.0,0.0,3
253,1970,Graduation,22070.0,6,268,0.0,8.0,1.0,0
254,1953,Graduation,69267.0,7,645,1.0,14.0,0.0,3
255,1983,Master,31788.0,5,101,0.0,10.0,1.0,1
256,1975,PhD,61905.0,5,145,0.0,12.0,1.0,3
257,1960,Graduation,29315.0,6,84,0.0,10.0,2.0,1
258,1963,Graduation,33378.0,7,508,0.0,9.0,2.0,1
259,1963,PhD,66313.0,4,286,0.0,23.0,1.0,3
260,1956,Graduation,60714.0,5,528,1.0,23.0,0.0,3
261,1981,Master,77882.0,1,60,0.0,12.0,0.0,4
262,1986,PhD,69867.0,1,453,2.0,17.0,0.0,3
263,1968,Master,63841.0,6,434,0.0,22.0,1.0,3
264,1981,Basic,24480.0,7,503,0.0,10.0,1.0,0
265,1976,Graduation,51369.0,8,612,0.0,16.0,1.0,2
266,1946,Graduation,37760.0,7,667,0.0,13.0,0.0,1
267,1974,PhD,65640.0,2,120,0.0,15.0,1.0,3
268,1975,Master,44319.0,5,73,0.0,7.0,2.0,2
269,1974,Graduation,30631.0,7,352,0.0,7.0,1.0,1
270,1952,Graduation,75278.0,3,516,0.0,23.0,0.0,4
271,1956,Master,50898.0,5,537,0.0,33.0,2.0,2
272,1966,Graduation,79946.0,3,48,0.0,22.0,0.0,4
273,1949,Master,35416.0,8,381,0.0,16.0,0.0,1
274,1984,2n Cycle,32414.0,7,360,1.0,5.0,0.0,1
275,1969,Graduation,38361.0,7,184,0.0,10.0,1.0,1
276,1980,Graduation,82497.0,4,606,1.0,19.0,0.0,4
277,1971,Graduation,16626.0,9,165,0.0,9.0,2.0,0
278,1965,Graduation,29672.0,6,474,0.0,4.0,2.0,1
279,1952,Master,55951.0,8,675,2.0,23.0,1.0,2
280,1988,2n Cycle,35388.0,7,479,0.0,5.0,1.0,1
281,1986,Master,42386.0,8,532,0.0,7.0,1.0,1
282,1982,Graduation,68627.0,1,533,0.0,12.0,0.0,3
283,1965,PhD,57912.0,5,104,1.0,28.0,1.0,2
284,1958,Graduation,35246.0,5,74,0.0,11.0,2.0,1
285,1956,2n Cycle,58821.0,6,260,0.0,21.0,1.0,2
286,1978,PhD,46377.0,4,120,0.0,7.0,1.0,2
287,1988,Graduation,39747.0,8,77,0.0,13.0,1.0,1
288,1984,Graduation,23976.0,7,184,0.0,10.0,1.0,0
289,1961,Master,80950.0,2,458,1.0,23.0,0.0,4
290,1966,Graduation,27038.0,9,649,1.0,7.0,0.0,0
291,1947,Graduation,77457.0,1,116,1.0,18.0,0.0,4
292,1964,Master,64100.0,7,292,1.0,18.0,1.0,3
293,1992,Master,42670.0,4,428,0.0,11.0,0.0,1
294,1976,Graduation,12571.0,6,162,0.0,11.0,1.0,0
295,1967,Graduation,22574.0,7,244,0.0,7.0,3.0,0
296,1976,Master,70893.0,3,508,0.0,23.0,0.0,3
297,1966,Graduation,54198.0,4,194,0.0,16.0,2.0,2
298,1956,Master,28839.0,5,110,0.0,7.0,2.0,0
299,1972,Graduation,40321.0,7,335,0.0,8.0,2.0,1
300,1985,Graduation,66503.0,3,684,0.0,15.0,1.0,3
301,1951,Graduation,30833.0,5,348,0.0,6.0,2.0,1
302,1971,Graduation,64795.0,2,528,0.0,21.0,1.0,3
303,1974,Graduation,34421.0,7,363,0.0,4.0,1.0,1
304,1965,PhD,47025.0,7,140,0.0,4.0,2.0,2
305,1961,PhD,64325.0,7,507,0.0,23.0,1.0,3
306,1953,Graduation,40464.0,8,534,0.0,24.0,1.0,1
307,1957,Graduation,62187.0,3,359,0.0,18.0,0.0,3
308,1976,PhD,14849.0,8,362,0.0,9.0,1.0,0
309,1984,Graduation,27255.0,7,234,0.0,5.0,1.0,0
310,1950,PhD,54432.0,4,416,0.0,5.0,3.0,2
311,1986,PhD,29999.0,8,501,0.0,12.0,1.0,1
312,1983,Graduation,24072.0,8,439,0.0,4.0,1.0,0
313,1989,PhD,33996.0,4,291,0.0,6.0,0.0,1
314,1956,PhD,66334.0,5,452,1.0,19.0,1.0,3
315,1971,Master,35178.0,7,535,2.0,5.0,1.0,1
316,1983,Graduation,22010.0,8,364,0.0,7.0,1.0,0
317,1960,Graduation,62204.0,3,655,0.0,22.0,2.0,3
318,1968,Graduation,75693.0,4,570,4.0,22.0,0.0,4
319,1972,Graduation,30675.0,8,594,0.0,5.0,1.0,1
320,1965,Graduation,83003.0,3,483,2.0,22.0,0.0,4
321,1988,Graduation,68655.0,3,688,0.0,21.0,0.0,3
322,1986,Graduation,41411.0,6,204,0.0,8.0,0.0,1
323,1969,PhD,55212.0,8,583,2.0,20.0,1.0,2
324,1950,PhD,59292.0,3,381,0.0,18.0,1.0,3
325,1973,Basic,27190.0,8,318,2.0,4.0,1.0,0
326,1952,Graduation,82623.0,1,231,0.0,16.0,0.0,4
327,1965,Graduation,44300.0,6,371,0.0,6.0,2.0,2
328,1970,Graduation,84835.0,1,13,1.0,15.0,0.0,4
329,1971,Graduation,30372.0,7,551,0.0,8.0,2.0,1
330,1976,Master,33181.0,6,177,1.0,4.0,1.0,1
331,1957,Graduation,71113.0,4,194,0.0,26.0,1.0,3
332,1986,Graduation,71952.0,4,535,2.0,22.0,1.0,3
333,1966,PhD,69759.0,3,244,1.0,18.0,0.0,3
334,1974,Graduation,72099.0,1,610,0.0,18.0,0.0,3
335,1976,PhD,60000.0,6,554,0.0,24.0,1.0,3
336,1978,Graduation,38643.0,7,212,0.0,7.0,2.0,1
337,1955,Graduation,50737.0,6,414,1.0,7.0,1.0,2
338,1969,PhD,68462.0,1,564,0.0,15.0,0.0,3
339,1943,Master,65073.0,2,313,0.0,14.0,0.0,3
340,1948,PhD,46681.0,5,264,0.0,16.0,2.0,2
341,1957,Graduation,78618.0,2,639,1.0,22.0,0.0,4
342,1969,PhD,62187.0,4,99,0.0,21.0,1.0,3
343,1978,Graduation,28442.0,4,125,0.0,10.0,2.0,0
344,1978,PhD,37717.0,9,583,0.0,4.0,1.0,1
345,1967,Graduation,51479.0,7,548,0.0,22.0,2.0,2
346,1969,Graduation,54803.0,4,677,0.0,19.0,1.0,2
347,1960,Graduation,79530.0,2,408,0.0,26.0,0.0,4
348,1976,Graduation,31615.0,7,470,0.0,7.0,1.0,1
349,1962,Graduation,72025.0,3,589,0.0,16.0,0.0,3
350,1975,PhD,52614.0,8,575,0.0,16.0,1.0,2
351,1984,2n Cycle,35684.0,6,68,0.0,5.0,1.0,1
352,1975,Graduation,48178.0,8,609,0.0,16.0,2.0,2
353,1970,Master,29548.0,4,304,1.0,5.0,1.0,1
354,1966,Graduation,63810.0,8,595,1.0,23.0,1.0,3
355,1972,PhD,38578.0,8,372,1.0,9.0,2.0,1
356,1975,Master,46098.0,8,680,0.0,11.0,2.0,2
357,1970,Graduation,22585.0,9,468,2.0,5.0,0.0,0
358,1989,Graduation,30279.0,8,546,0.0,5.0,1.0,1
359,1961,PhD,66426.0,6,270,0.0,20.0,1.0,3
360,1969,Graduation,30822.0,7,380,0.0,5.0,1.0,1
361,1969,PhD,33581.0,8,537,0.0,4.0,2.0,1
362,1985,Graduation,19986.0,7,227,0.0,4.0,1.0,0
363,1954,Graduation,27421.0,7,564,0.0,14.0,0.0,0
364,1973,2n Cycle,35688.0,8,676,0.0,16.0,3.0,1
365,1981,Master,36143.0,3,91,0.0,4.0,1.0,1
366,1971,Graduation,10245.0,5,410,0.0,8.0,1.0,0
367,1968,Master,43795.0,7,256,2.0,17.0,1.0,1
368,1960,Graduation,63381.0,2,632,0.0,26.0,1.0,3
369,1949,Graduation,38823.0,6,668,0.0,7.0,1.0,1
370,1968,PhD,83664.0,5,417,0.0,19.0,2.0,4
371,1979,Graduation,90300.0,1,177,1.0,19.0,0.0,4
372,1979,Master,62499.0,4,202,0.0,12.0,1.0,3
373,1993,Graduation,74293.0,2,56,0.0,16.0,0.0,4
374,1946,PhD,51012.0,6,437,0.0,10.0,0.0,2
375,1968,Master,70777.0,3,124,0.0,23.0,1.0,3
376,1991,PhD,68682.0,2,266,0.0,24.0,0.0,3
377,1971,Graduation,43824.0,8,652,0.0,12.0,2.0,1
378,1984,Graduation,15345.0,8,667,1.0,6.0,1.0,0
379,1987,Graduation,23442.0,7,552,0.0,5.0,1.0,0
380,1980,2n Cycle,14515.0,7,597,1.0,11.0,1.0,0
381,1956,2n Cycle,31395.0,6,463,0.0,10.0,2.0,1
382,1965,Graduation,75276.0,5,640,0.0,23.0,0.0,4
383,1974,Graduation,42373.0,5,318,0.0,13.0,2.0,1
384,1960,Graduation,30507.0,7,475,0.0,11.0,0.0,1
385,1955,PhD,55521.0,7,250,2.0,24.0,3.0,2
386,1965,Graduation,48006.0,6,20,0.0,5.0,2.0,2
387,1972,PhD,27213.0,8,668,1.0,9.0,1.0,0
388,1971,PhD,65808.0,6,30,0.0,14.0,2.0,3
389,1974,PhD,30351.0,9,388,0.0,6.0,1.0,1
390,1963,Graduation,50437.0,7,620,0.0,19.0,2.0,2
391,1982,2n Cycle,23616.0,8,589,1.0,8.0,1.0,0
392,1976,Graduation,53858.0,4,597,0.0,17.0,1.0,2
393,1955,PhD,66465.0,6,456,1.0,35.0,1.0,3
394,1987,Graduation,46923.0,7,676,0.0,16.0,1.0,2
395,1962,Graduation,75072.0,3,522,0.0,19.0,1.0,4
396,1943,PhD,75865.0,1,90,0.0,19.0,0.0,4
397,1975,2n Cycle,19789.0,5,221,1.0,9.0,1.0,0
398,1994,Graduation,80134.0,5,135,4.0,21.0,0.0,4
399,1981,Graduation,91065.0,3,492,3.0,26.0,0.0,4
400,1971,Master,49505.0,8,481,0.0,29.0,2.0,2
401,1973,PhD,37401.0,7,54,0.0,7.0,1.0,1
402,1983,Graduation,30096.0,6,38,0.0,6.0,1.0,1
403,1982,Master,18492.0,8,24,0.0,4.0,1.0,0
404,1974,Master,82584.0,1,390,3.0,16.0,0.0,4
405,1941,PhD,93027.0,2,442,1.0,22.0,0.0,4
406,1953,Graduation,48686.0,8,207,0.0,4.0,3.0,2
407,1986,Graduation,92910.0,1,66,3.0,27.0,0.0,4
408,1989,Graduation,75433.0,6,85,2.0,19.0,1.0,4
409,1989,2n Cycle,10404.0,5,56,0.0,7.0,1.0,0
410,1968,Graduation,61314.0,3,430,0.0,24.0,1.0,3
411,1961,PhD,84865.0,4,416,5.0,16.0,0.0,4
412,1989,Graduation,42387.0,8,608,0.0,21.0,1.0,1
413,1967,2n Cycle,67309.0,7,522,0.0,39.0,2.0,3
414,1964,Graduation,75236.0,4,216,0.0,25.0,1.0,4
415,1970,Graduation,30015.0,5,147,0.0,7.0,1.0,1
416,1956,Master,50943.0,5,373,0.0,5.0,1.0,2
417,1966,Graduation,67272.0,5,190,0.0,23.0,1.0,3
418,1949,Master,51529.0,8,295,0.0,17.0,1.0,2
419,1971,PhD,32011.0,7,311,0.0,10.0,1.0,1
420,1986,2n Cycle,7500.0,8,507,0.0,7.0,1.0,0
421,1989,Graduation,28691.0,8,360,0.0,5.0,1.0,0
422,1948,PhD,56223.0,4,191,0.0,10.0,1.0,2
423,1946,Graduation,18100.0,5,327,0.0,4.0,0.0,0
424,1989,Graduation,30279.0,8,546,0.0,5.0,1.0,1
425,1974,2n Cycle,20130.0,8,104,0.0,5.0,0.0,0
